Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
2318 ,Ang,Sapindaceae,Acer saccharum,-2.99 ,,,,,,2.708333333,7.09 ,925.00 ,0.491363724,1.0113,1072.078103,25.36480448,-14.88000011,43,44°30' N,73°07' W,"Tyree, 1991, Plant Physiology","Essex Junction or Underhill Center, Vermont",USA
2449 ,Ang,Sapindaceae,Acer saccharum,,6.24 ,0.88 ,,,,3.474999984,8.58 ,793.00 ,0.511422015,0.8262,1001.529457,26.31120843,-12.13199997,35,42°40' N,84°28' W,"Woodrum, 2003, American Journal of Botany","Ingham County, Michigan",USA
2582 ,Ang,Sapindaceae,Acer stachyophyllum,,,0.88 ,,,,2.458333294,0.75 ,846.00 ,38.61108759,1.0824,647.250795,90.57201924,-13,7,29°34'N,101°59'E,"Xu, 2020, New Phytologist",Sichuan province,China
2756 ,Ang,Sapindaceae,Acer tegmentosum,-1.61 ,1.46 ,,30.00 ,0.39 ,,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24' N,128°28' E,"Yin, 2018, New Phytologist",Jilin province,China
269 ,Gym,Podocarpaceae,Acmopyle pancheri,,0.33 ,0.50 ,,,,3.900000016,19.33 ,2351.00 ,0.718162138,1.9001,192.9429245,29.3970836,12.20800018,110,22°02' S,166°28' E,"Brodribb & Feild, 2000, Plant, Cell and Environment",New Caledonia,France (Overseas territories)
1484 ,Ang,Fabaceae,Acosmium cardenasii,-6.20 ,1.18 ,0.53 ,,0.51 ,,2.950000008,24.77 ,1143.00 ,0.998740338,0.6171,167.8732009,62.51391847,16.2159996,16,16°07' S,61°43' W,"Markesteijn et al, 2011a, 2011b","Near Conception, Santa Cruz",Bolivia
N20,Ang,Fabaceae,Acosmiun panamense,,,,,0.77 ,,3.533333381,26.60 ,1633.00 ,1.163631518,1.0017,80.14568299,93.82169736,21.43599892,2,10°43?31.39?N,85°35?46.99?W,"Vargas, 2021, New Phytologist",Horizontes,Costa Rica
2171 ,Ang,Rutaceae,Acronychia pedunculata,-1.86 ,1.33 ,0.59 ,,0.54 ,,1.87499999,20.60 ,1835.00 ,0.759396395,1.3895,565.6792834,66.92045161,8.623999596,37,23°10' N,112°32' E,"This study; Zhu, 2013, Plant, Cell & Environment",Guangdong Province,China
661 ,Ang,Lauraceae,Actinodaphne henryi,,,,106.20 ,0.71 ,9.43 ,1.266666651,21.56 ,1641.00 ,0.894353661,0.9726,335.0943307,76.6728934,11.23200035,16,21°41' N,101°25' E,"Fan, 2012, Journal of Ecology",Yunnan Province,China
1485 ,Ang,Euphorbiaceae,Actinostemon concepcionis,,0.55 ,0.45 ,,0.71 ,,2.950000008,24.77 ,1143.00 ,0.998740338,0.6171,167.8732009,62.51391847,16.2159996,16,16°07' S,61°43' W,"Markesteijn et al, 2011a, 2011b","Near Conception, Santa Cruz",Bolivia
