Timestamp	StudentAge	Gender	Nationality	Major	FirstPhoneAge	Provider	Devices	WeeklyPhone	SocialMedia	Sleep	MobileMoney	Food	Study	Gym	StudySpace	Health	Writing	Math
8/27/2019 0:50:04	19	Female	Ghana	BA	8	AirtelTigo	2	20	5	6	No	15	3	No	Hive	3	Yes	Yes
8/27/2019 1:14:44	17	Female	Ghana	BA	10	Vodafone	2	5	2.5	6.5	No	0	2	No	Room	2	Yes	No
8/27/2019 6:08:00	19	Female	Kenya	CS	13	MTN	2	20	5	7.5	No	35	10	No	Any of the classrooms	5	Yes	Yes
8/27/2019 6:20:21	19	Female	Ghana	BA	11	MTN	2	15	3.5	5.5	Yes	35	6	Yes	Library Study Area	2	Yes	Yes
8/27/2019 6:56:47	18	Male	Ghana	MIS	7	AirtelTigo	3	2	1	7.55	No	2	21	No	Any of the classrooms	2	Yes	Yes
8/27/2019 7:10:32	19	Female	Ghana	BA	13	Vodafone	2	40	4	5	No	5	3	No	Fab Lab 	1	Yes	Yes
8/27/2019 7:15:30	19	Female	Ghana	BA	18	MTN	2	50	2.5	5.5	No	10	4	Yes	Any of the classrooms	1	Yes	Yes
8/27/2019 8:11:44	18	Female	Ghana	MIS	14	MTN	2	7	1	7	No	0	3	Yes	Room	1	Yes	Yes
8/27/2019 8:24:35	18	Female	Ghana	CS	17	Vodafone	2	10	2	6.5	Yes	20	2	No	Any of the classrooms	3	Yes	Yes
8/27/2019 8:47:55	18	Male	Ghana	BA	12	MTN	2	60	4.5	6	Yes	0	5	Yes	Any of the classrooms	2	Yes	Yes
8/27/2019 9:12:01	18	Female	Ghana	BA	8	AirtelTigo	3	30	4.5	4	No	0	3	No	Any of the classrooms	4	Yes	No
8/27/2019 9:36:20	19	Female	Ghana	BA	10	MTN	3	30	4.5	6	Yes	20	2	No	Hakuna Matata	10	Yes	Yes
8/27/2019 9:36:31	19	Female	Ghana	BA	9	MTN	2	50	18	5	Yes	3	3	No	Hakuna Matata	2	Yes	Yes
8/27/2019 9:40:43	20	Female	Ghana	BA	7	MTN	2	50	6	8	Yes	10	5	No	Any of the classrooms	5	Yes	Yes
8/27/2019 9:44:47	20	Female	Ghana	MIS	10	Vodafone	2	15	10	7	Yes	10	3	No	Any of the classrooms	2	Yes	Yes
8/27/2019 11:04:23	19	Female	Ghana	BA	10	MTN	3	30	4.5	6	Yes	20	2	No	Hakuna Matata	10	Yes	Yes
8/27/2019 11:23:39	20	Male	Ghana	MIS	17	AirtelTigo	2	10	2	6	No	27	5	Yes	Any of the classrooms	5	Yes	No
8/27/2019 11:42:32	20	Female	Ghana	BA	17	MTN	2	20	3.5	8	No	20	2	No	Library Study Area	6	Yes	Yes
8/27/2019 12:00:45	20	Female	Rwanda	CS	14	MTN	2	10	5	10	Yes	30	5	No	Any of the classrooms	5	Yes	Yes
